Education Level,Institution Type,Age,Flexibility Level,Location,Network Type,IT Student,Device,Internet Type,Gender,Financial Condition
University,Private,23,Moderate,Town,4G,No,Tab,Wifi,Male,Average
University,Private,23,Moderate,Town,4G,No,Mobile,Own data,Female,Average
College,Public,18,Moderate,Town,4G,No,Mobile,Wifi,Female,Average
School,Private,11,Moderate,Town,4G,No,Mobile,Own data,Female,Average
School,Private,18,Low,Town,5G,No,Mobile,Own data,Female,Poor
School,Private,11,Low,Town,5G,No,Mobile,Own data,Male,Poor
School,Private,11,Low,Town,4G,No,Mobile,Wifi,Male,Average
School,Private,11,Moderate,Town,4G,No,Mobile,Wifi,Male,Average
College,Public,18,Low,Town,4G,No,Mobile,Wifi,Male,Average
School,Private,11,Moderate,Town,5G,No,Mobile,Own data,Male,Average
University,Public,18,Low,Town,4G,No,Mobile,Wifi,Female,Average
College,Private,18,Low,Town,4G,No,Mobile,Wifi,Female,Average
School,Private,11,Moderate,Town,5G,Yes,Mobile,Own data,Male,Average
College,Private,18,Low,Rural,4G,No,Mobile,Wifi,Female,Average
School,Private,11,Moderate,Town,5G,No,Mobile,Own data,Female,Poor
School,Private,11,Low,Town,4G,No,Mobile,Wifi,Male,Poor
University,Public,27,Low,Town,4G,Yes,Computer,Own data,Female,Poor
University,Public,23,Low,Rural,4G,No,Mobile,Wifi,Female,Average
College,Private,18,Low,Town,4G,No,Mobile,Wifi,Female,Average
College,Private,18,Moderate,Town,4G,No,Mobile,Wifi,Female,Average
School,Private,10,High,Town,4G,No,Mobile,Wifi,Female,Rich
School,Public,10,Low,Town,4G,No,Mobile,Own data,Male,Average
College,Private,18,Low,Rural,5G,No,Mobile,Own data,Female,Average
School,Private,11,Moderate,Town,5G,No,Mobile,Own data,Female,Average
College,Public,18,Moderate,Town,4G,No,Mobile,Wifi,Male,Average
School,Private,11,Moderate,Town,4G,No,Mobile,Own data,Male,Average
School,Private,9,Moderate,Town,4G,No,Mobile,Own data,Female,Average
University,Private,27,Moderate,Town,4G,Yes,Computer,Wifi,Male,Average
School,Private,9,Moderate,Town,4G,No,Mobile,Own data,Female,Average
College,Private,18,Moderate,Town,4G,No,Mobile,Wifi,Female,Average
School,Private,10,Moderate,Town,5G,No,Mobile,Own data,Female,Average
College,Private,18,Low,Rural,4G,No,Mobile,Own data,Female,Average
University,Private,23,Moderate,Town,4G,Yes,Mobile,Own data,Male,Average
College,Private,18,Moderate,Town,4G,No,Mobile,Wifi,Female,Average
School,Private,11,Low,Town,5G,No,Mobile,Own data,Male,Poor
University,Private,23,Moderate,Town,5G,Yes,Mobile,Wifi,Female,Average
College,Public,23,Moderate,Town,4G,Yes,Mobile,Own data,Female,Average
School,Private,10,High,Town,5G,No,Mobile,Own data,Female,Poor
University,Public,27,Low,Rural,4G,No,Mobile,Own data,Female,Poor
School,Public,11,Low,Town,5G,No,Mobile,Wifi,Female,Average
University,Private,23,Moderate,Town,4G,No,Computer,Wifi,Male,Average
University,Private,23,Moderate,Town,4G,Yes,Mobile,Wifi,Female,Average
School,Private,18,Low,Town,5G,No,Mobile,Own data,Female,Poor
School,Private,11,Moderate,Town,4G,No,Mobile,Own data,Male,Average
University,Private,23,Low,Town,5G,Yes,Computer,Wifi,Male,Average
University,Private,23,Moderate,Town,4G,Yes,Computer,Wifi,Male,Average
School,Private,9,Moderate,Town,4G,No,Mobile,Own data,Female,Poor
School,Private,11,Moderate,Town,5G,No,Mobile,Own data,Female,Average
School,Private,11,Moderate,Town,4G,No,Mobile,Own data,Male,Average
University,Private,23,Low,Town,5G,Yes,Computer,Wifi,Male,Average
College,Public,18,Low,Town,4G,No,Mobile,Wifi,Male,Average
School,Private,11,Moderate,Town,4G,No,Mobile,Own data,Female,Average
University,Private,23,Moderate,Town,5G,Yes,Mobile,Own data,Male,Average
University,Public,27,Moderate,Rural,4G,Yes,Mobile,Own data,Male,Poor
School,Private,9,Low,Town,4G,No,Mobile,Own data,Male,Poor
School,Private,9,Moderate,Town,4G,No,Mobile,Own data,Female,Average
University,Public,23,Low,Town,4G,No,Mobile,Own data,Male,Average
